distance,cds
0.003,950
0.03,951
0.057,951
0.085,952
0.112,951
0.139,951
0.166,950
0.194,951
0.221,951
0.248,951
0.275,951
0.303,950
0.33,951
0.357,951
0.385,951
0.412,950
0.439,950
0.466,951
0.494,950
0.521,951
0.548,951
0.575,951
0.603,952
0.63,952
0.657,952
0.685,952
0.712,952
0.739,953
0.766,953
0.794,954
0.821,953
0.848,953
0.875,953
0.903,952
0.93,888
0.957,771
0.985,686
1.012,630
1.039,573
1.066,531
1.094,488
1.121,460
1.148,431
1.175,412
1.203,396
1.23,385
1.257,380
1.285,379
1.312,383
1.339,392
1.366,405
1.394,425
1.421,443
1.448,467
1.475,487
1.503,508
1.53,520
1.557,523
1.585,518
1.612,499
1.639,483
1.666,452
1.694,431
1.721,398
1.748,377
1.775,354
1.803,337
1.83,321
1.857,310
1.885,302
1.912,299
1.939,299
1.966,302
1.994,310
2.021,321
2.048,338
2.075,357
2.103,380
2.13,406
2.157,429
2.185,449
2.212,460
2.239,461
2.266,453
2.294,437
2.321,416
2.348,393
2.375,363
2.403,344
2.43,317
2.457,298
2.485,281
2.512,267
2.539,258
2.566,251
2.594,249
2.621,249
2.648,252
2.675,258
2.703,267
2.73,283
2.757,298
2.785,322
2.812,341
2.839,369
2.866,388
2.894,404
2.921,411
2.948,407
2.975,397
3.003,377
3.03,356
3.057,332
3.085,308
3.112,286
3.139,266
3.166,251
3.194,235
3.221,225
3.248,216
3.275,212
3.303,209
3.33,208
3.357,212
3.385,216
3.412,225
3.439,235
3.466,248
3.494,266
3.521,284
3.548,307
3.575,328
3.603,347
3.63,360
3.657,364
3.685,363
3.712,352
3.739,336
3.766,317
3.794,296
3.821,276
3.848,257
3.875,240
3.903,227
3.93,214
3.957,206
3.985,200
4.012,197
4.039,196
4.066,197
4.094,201
4.121,208
4.148,217
4.175,232
4.203,247
4.23,268
4.257,287
4.285,309
4.312,329
4.339,344
4.366,351
4.394,350
4.421,338
4.448,325
4.475,308
4.503,287
4.53,267
4.557,250
4.585,232
4.612,218
4.639,205
4.666,196
4.694,190
4.721,187
4.748,186
4.776,186
4.803,190
4.83,196
4.857,204
4.885,216
4.912,231
4.939,249
4.966,270
4.994,291
5.021,309
5.048,322
5.076,329
5.103,327
5.13,317
5.157,304
5.185,285
5.212,267
5.239,246
5.266,228
5.294,211
5.321,199
5.348,188
5.376,179
5.403,173
5.43,169
5.457,167
5.485,168
5.512,172
5.539,177
5.566,185
5.594,196
5.621,210
5.648,227
5.676,246
5.703,265
5.73,283
5.757,297
5.785,304
5.812,305
5.839,300
5.867,288
5.894,274
5.921,258
5.948,240
5.976,226
6.003,211
6.03,200
6.057,190
6.085,184
6.112,180
6.139,178
6.167,179
6.194,183
6.221,189
6.248,199
6.276,212
6.303,228
6.33,247
6.357,270
6.385,292
6.412,313
6.439,328
6.467,336
6.494,336
6.521,330
6.548,318
6.576,303
6.603,285
6.63,267
6.657,249
6.685,235
6.712,222
6.739,212
6.767,206
6.794,202
6.821,200
6.848,202
6.876,206
6.903,212
6.93,222
6.958,236
6.985,253
7.012,274
7.039,298
7.067,322
7.094,343
7.121,364
7.148,375
7.176,378
7.203,373
7.23,360
7.258,342
7.285,322
7.312,301
7.339,282
7.367,264
7.394,249
7.421,237
7.448,227
7.476,220
7.503,217
7.53,216
7.558,219
7.585,222
7.612,230
7.639,240
7.667,254
7.694,270
7.721,291
7.749,316
7.776,341
7.803,365
7.83,386
7.858,401
7.885,408
7.912,405
7.939,395
7.967,380
7.994,362
8.021,340
8.049,322
8.076,301
8.103,288
8.13,272
8.158,264
8.185,254
8.212,250
8.239,247
8.267,250
8.294,252
8.321,259
8.349,269
8.376,279
8.403,296
8.43,315
8.458,340
8.485,363
8.512,395
8.539,417
8.567,439
8.594,455
8.621,463
8.649,463
8.676,454
8.703,439
8.73,420
8.758,397
8.785,374
8.812,353
8.84,335
8.867,321
8.894,311
8.921,303
8.949,300
8.976,298
