distance,cds
0.001,769
0.027,770
0.055,770
0.083,771
0.11,770
0.137,770
0.164,769
0.192,770
0.219,770
0.246,770
0.273,770
0.301,769
0.328,770
0.355,770
0.383,770
0.41,769
0.437,769
0.464,770
0.492,769
0.519,770
0.546,770
0.573,770
0.601,771
0.628,771
0.655,771
0.683,771
0.71,771
0.737,772
0.764,772
0.792,773
0.819,772
0.846,772
0.873,772
0.901,771
0.928,707
0.955,590
0.983,505
1.01,449
1.037,392
1.064,350
1.092,307
1.119,279
1.146,250
1.173,231
1.201,215
1.228,204
1.255,199
1.283,198
1.31,202
1.337,211
1.364,224
1.392,244
1.419,262
1.446,286
1.473,306
1.501,327
1.528,339
1.555,342
1.583,337
1.61,318
1.637,302
1.664,271
1.692,250
1.719,217
1.746,196
1.773,173
1.801,156
1.828,140
1.855,129
1.883,121
1.91,118
1.937,118
1.964,121
1.992,129
2.019,140
2.046,157
2.073,176
2.101,199
2.128,225
2.155,248
2.183,268
2.21,279
2.237,280
2.264,272
2.292,256
2.319,235
2.346,212
2.373,182
2.401,163
2.428,136
2.455,117
2.483,100
2.51,86
2.537,77
2.564,70
2.592,68
2.619,68
2.646,71
2.673,77
2.701,86
2.728,102
2.755,117
2.783,141
2.81,160
2.837,188
2.864,207
2.892,223
2.919,230
2.946,226
2.973,216
3.001,196
3.028,175
3.055,151
3.083,127
3.11,105
3.137,85
3.164,70
3.192,54
3.219,44
3.246,35
3.273,31
3.301,28
3.328,27
3.355,31
3.383,35
3.41,44
3.437,54
3.464,67
3.492,85
3.519,103
3.546,126
3.573,147
3.601,166
3.628,179
3.655,183
3.683,182
3.71,171
3.737,155
3.764,136
3.792,115
3.819,95
3.846,76
3.873,59
3.901,46
3.928,33
3.955,25
3.983,19
4.01,16
4.037,15
4.064,16
4.092,20
4.119,27
4.146,36
4.173,51
4.201,66
4.228,87
4.255,106
4.283,128
4.31,148
4.337,163
4.364,170
4.392,169
4.419,157
4.446,144
4.473,127
4.501,106
4.528,86
4.555,69
4.583,51
4.61,37
4.637,24
4.664,15
4.692,9
4.719,6
4.746,5
4.774,5
4.801,9
4.828,15
4.855,23
4.883,35
4.91,50
4.937,68
4.964,89
4.992,110
5.019,128
5.046,141
5.074,148
5.101,146
5.128,136
5.155,123
5.183,104
5.21,86
5.237,65
5.264,47
5.292,30
5.319,18
5.346,7
5.374,-2
5.401,-8
5.428,-12
5.455,-14
5.483,-13
5.51,-9
5.537,-4
5.564,4
5.592,15
5.619,29
5.646,46
5.674,65
5.701,84
5.728,102
5.755,116
5.783,123
5.81,124
5.837,119
5.865,107
5.892,93
5.919,77
5.946,59
5.974,45
6.001,30
6.028,19
6.055,9
6.083,3
6.11,-1
6.137,-3
6.165,-2
6.192,2
6.219,8
6.246,18
6.274,31
6.301,47
6.328,66
6.355,89
6.383,111
6.41,132
6.437,147
6.465,155
6.492,155
6.519,149
6.546,137
6.574,122
6.601,104
6.628,86
6.655,68
6.683,54
6.71,41
6.737,31
6.765,25
6.792,21
6.819,19
6.846,21
6.874,25
6.901,31
6.928,41
6.956,55
6.983,72
7.01,93
7.037,117
7.065,141
7.092,162
7.119,183
7.146,194
7.174,197
7.201,192
7.228,179
7.256,161
7.283,141
7.31,120
7.337,101
7.365,83
7.392,68
7.419,56
7.446,46
7.474,39
7.501,36
7.528,35
7.556,38
7.583,41
7.61,49
7.637,59
7.665,73
7.692,89
7.719,110
7.747,135
7.774,160
7.801,184
7.828,205
7.856,220
7.883,227
7.91,224
7.937,214
7.965,199
7.992,181
8.019,159
8.047,141
8.074,120
8.101,107
8.128,91
8.156,83
8.183,73
8.21,69
8.237,66
8.265,69
8.292,71
8.319,78
8.347,88
8.374,98
8.401,115
8.428,134
8.456,159
8.483,182
8.51,214
8.537,236
8.565,258
8.592,274
8.619,282
8.647,282
8.674,273
8.701,258
8.728,239
8.756,216
8.783,193
8.81,172
8.838,154
8.865,140
8.892,130
8.919,122
8.947,119
8.974,117
